model,model_key,mode,qid,correct,latency_s,in_tokens,out_tokens,est_cost_usd,error,answer
DeepSeek V4 Pro,deepseek-v4-pro,mock,q01,1,1.864,105,70,5.88e-05,,The advantage is group-relative: (reward - group mean) / group std over a sampled group of completions. It removes the value/critic network that PPO must train.
DeepSeek V4 Pro,deepseek-v4-pro,mock,q02,1,1.379,90,71,5.5020000000000005e-05,,They both fix the length-normalization bias (the 1/|o| per-output factor) that makes the model prefer longer incorrect outputs. (details omitted / partially correct)
DeepSeek V4 Pro,deepseek-v4-pro,mock,q03,1,2.083,97,60,5.236e-05,,Five stages. Stage 2 is cold-start SFT: a few thousand cleaned long chain-of-thought examples used as an anchor before RL.
DeepSeek V4 Pro,deepseek-v4-pro,mock,q04,1,1.71,101,68,5.6840000000000005e-05,,A verifiable format + accuracy reward (no learned reward model). The template puts reasoning in <think></think> and the final answer in <answer></answer>.
DeepSeek V4 Pro,deepseek-v4-pro,mock,q05,1,1.289,93,84,6.131999999999999e-05,,"(1) Decomposition: splitting a hard problem into sub-problems reuses seen patterns. (2) More test-time compute: each emitted token is another forward pass, so more reasoning tokens buy more computation before answering."
DeepSeek V4 Pro,deepseek-v4-pro,mock,q06,1,1.69,95,69,5.558e-05,,"Any two of: dynamic budget routing, budget forcing ('Wait' to extend / 'time is up' to stop), context-aware budgeting, or continuous/latent thoughts (Coconut)."
DeepSeek V4 Pro,deepseek-v4-pro,mock,q07,1,1.81,108,63,5.6699999999999996e-05,,No -- explicit 'think step by step' prompts are unnecessary and can hurt. Developer messages replace system messages for these models.
DeepSeek V4 Pro,deepseek-v4-pro,mock,q08,1,1.335,100,76,5.992e-05,,LLM math reasoning is fragile and pattern-matching-like: accuracy varies with numeric changes and drops as clauses increase. Irrelevant info (GSM-NoOp) can cut performance by up to ~65%.
DeepSeek V4 Pro,deepseek-v4-pro,mock,q09,1,2.203,115,58,5.656e-05,,Plain SFT on the teacher's generated reasoning traces (not logit matching). (details omitted / partially correct)
DeepSeek V4 Pro,deepseek-v4-pro,mock,q10,1,1.008,102,77,6.09e-05,,It keeps the policy near a trusted reference (the SFT model). PPO folds KL into the per-token reward before advantage estimation; GRPO uses a separate explicit -beta*KL term in the objective.
Claude Opus 4.8,claude-opus-4.8,mock,q01,1,3.824,120,80,0.0026,,The advantage is group-relative: (reward - group mean) / group std over a sampled group of completions. It removes the value/critic network that PPO must train.
Claude Opus 4.8,claude-opus-4.8,mock,q02,1,2.96,103,100,0.003015,,They both fix the length-normalization bias (the 1/|o| per-output factor) that makes the model prefer longer incorrect outputs. DAPO normalizes over total group tokens (plus clip-higher); Dr. GRPO drops the length term entirely.
Claude Opus 4.8,claude-opus-4.8,mock,q03,1,4.571,111,69,0.00228,,Five stages. Stage 2 is cold-start SFT: a few thousand cleaned long chain-of-thought examples used as an anchor before RL.
Claude Opus 4.8,claude-opus-4.8,mock,q04,1,4.464,116,78,0.00253,,A verifiable format + accuracy reward (no learned reward model). The template puts reasoning in <think></think> and the final answer in <answer></answer>.
Claude Opus 4.8,claude-opus-4.8,mock,q05,1,2.171,106,96,0.0029300000000000003,,"(1) Decomposition: splitting a hard problem into sub-problems reuses seen patterns. (2) More test-time compute: each emitted token is another forward pass, so more reasoning tokens buy more computation before answering."
Claude Opus 4.8,claude-opus-4.8,mock,q06,1,2.378,109,79,0.0025199999999999997,,"Any two of: dynamic budget routing, budget forcing ('Wait' to extend / 'time is up' to stop), context-aware budgeting, or continuous/latent thoughts (Coconut)."
Claude Opus 4.8,claude-opus-4.8,mock,q07,1,3.001,124,72,0.00242,,No -- explicit 'think step by step' prompts are unnecessary and can hurt. Developer messages replace system messages for these models.
Claude Opus 4.8,claude-opus-4.8,mock,q08,1,3.966,114,80,0.0025700000000000002,,LLM math reasoning is fragile and pattern-matching-like: accuracy varies with numeric changes and drops as clauses increase. (details omitted / partially correct)
Claude Opus 4.8,claude-opus-4.8,mock,q09,1,2.192,132,86,0.00281,,"Plain SFT on the teacher's generated reasoning traces (not logit matching). At small scale, distillation beats RL-from-scratch (e.g. distilled Qwen-32B ~72.6 AIME vs ~47.0 from RL)."
Claude Opus 4.8,claude-opus-4.8,mock,q10,1,4.387,117,88,0.002785,,It keeps the policy near a trusted reference (the SFT model). PPO folds KL into the per-token reward before advantage estimation; GRPO uses a separate explicit -beta*KL term in the objective.
